Target,Doses,Model,Env,Frame,Sample Size,Value
0.25,9,MCA (delta=0.0),0.1,13,42,62.7
0.25,9,MCA (delta=0.0),0.1,14,45,62.3
0.25,9,MCA (delta=0.0),0.1,15,48,63.5
0.25,9,MCA (delta=0.0),0.1,16,51,63.8
0.25,9,MCA (delta=0.0),0.1,17,54,63.7
0.25,9,MCA (delta=0.0),0.1,18,57,64.6
0.25,9,MCA (delta=0.0),0.1,19,60,65.5
0.25,9,MCA (delta=0.0),0.15,0,3,16.6
0.25,9,MCA (delta=0.0),0.15,1,6,21.8
0.25,9,MCA (delta=0.0),0.15,2,9,25.6
0.25,9,MCA (delta=0.0),0.15,3,12,29.9
0.25,9,MCA (delta=0.0),0.15,4,15,35.8
0.25,9,MCA (delta=0.0),0.15,5,18,42
0.25,9,MCA (delta=0.0),0.15,6,21,46.1
0.25,9,MCA (delta=0.0),0.15,7,24,52.7
0.25,9,MCA (delta=0.0),0.15,8,27,59.7
0.25,9,MCA (delta=0.0),0.15,9,30,61.8
0.25,9,MCA (delta=0.0),0.15,10,33,64
0.25,9,MCA (delta=0.0),0.15,11,36,68.1
0.25,9,MCA (delta=0.0),0.15,12,39,69.1
0.25,9,MCA (delta=0.0),0.15,13,42,69.9
0.25,9,MCA (delta=0.0),0.15,14,45,70.2
0.25,9,MCA (delta=0.0),0.15,15,48,72.9
0.25,9,MCA (delta=0.0),0.15,16,51,73.5
0.25,9,MCA (delta=0.0),0.15,17,54,74.2
0.25,9,MCA (delta=0.0),0.15,18,57,75.6
0.25,9,MCA (delta=0.0),0.15,19,60,76.4
0.25,9,MCA (delta=0.05),0.05,0,3,15.8
0.25,9,MCA (delta=0.05),0.05,1,6,19.3
0.25,9,MCA (delta=0.05),0.05,2,9,21.7
0.25,9,MCA (delta=0.05),0.05,3,12,23.8
0.25,9,MCA (delta=0.05),0.05,4,15,24.9
0.25,9,MCA (delta=0.05),0.05,5,18,28.9
0.25,9,MCA (delta=0.05),0.05,6,21,30.7
0.25,9,MCA (delta=0.05),0.05,7,24,29.9
0.25,9,MCA (delta=0.05),0.05,8,27,32.7
0.25,9,MCA (delta=0.05),0.05,9,30,34.3
0.25,9,MCA (delta=0.05),0.05,10,33,37
0.25,9,MCA (delta=0.05),0.05,11,36,38.3
0.25,9,MCA (delta=0.05),0.05,12,39,39
0.25,9,MCA (delta=0.05),0.05,13,42,38.9
0.25,9,MCA (delta=0.05),0.05,14,45,40.7
0.25,9,MCA (delta=0.05),0.05,15,48,41.9
0.25,9,MCA (delta=0.05),0.05,16,51,42.2
0.25,9,MCA (delta=0.05),0.05,17,54,43
0.25,9,MCA (delta=0.05),0.05,18,57,43.4
0.25,9,MCA (delta=0.05),0.05,19,60,43.3
0.25,9,MCA (delta=0.05),0.07,0,3,15.7
0.25,9,MCA (delta=0.05),0.07,1,6,20.8
0.25,9,MCA (delta=0.05),0.07,2,9,23
0.25,9,MCA (delta=0.05),0.07,3,12,27.8
0.25,9,MCA (delta=0.05),0.07,4,15,28.7
0.25,9,MCA (delta=0.05),0.07,5,18,31.6
0.25,9,MCA (delta=0.05),0.07,6,21,36.5
0.25,9,MCA (delta=0.05),0.07,7,24,38.3
0.25,9,MCA (delta=0.05),0.07,8,27,42.1
0.25,9,MCA (delta=0.05),0.07,9,30,46.6
0.25,9,MCA (delta=0.05),0.07,10,33,44.7
0.25,9,MCA (delta=0.05),0.07,11,36,45.9
0.25,9,MCA (delta=0.05),0.07,12,39,46.9
0.25,9,MCA (delta=0.05),0.07,13,42,47.1
0.25,9,MCA (delta=0.05),0.07,14,45,48.5
0.25,9,MCA (delta=0.05),0.07,15,48,49.6
0.25,9,MCA (delta=0.05),0.07,16,51,49.3
0.25,9,MCA (delta=0.05),0.07,17,54,49.6
0.25,9,MCA (delta=0.05),0.07,18,57,52.1
0.25,9,MCA (delta=0.05),0.07,19,60,52.5
0.25,9,MCA (delta=0.05),0.1,0,3,17.8
0.25,9,MCA (delta=0.05),0.1,1,6,22.1
0.25,9,MCA (delta=0.05),0.1,2,9,27.7
0.25,9,MCA (delta=0.05),0.1,3,12,32.2
0.25,9,MCA (delta=0.05),0.1,4,15,35.1
0.25,9,MCA (delta=0.05),0.1,5,18,40.6
0.25,9,MCA (delta=0.05),0.1,6,21,44.5
0.25,9,MCA (delta=0.05),0.1,7,24,47.6
0.25,9,MCA (delta=0.05),0.1,8,27,50.2
0.25,9,MCA (delta=0.05),0.1,9,30,53.6
0.25,9,MCA (delta=0.05),0.1,10,33,56
0.25,9,MCA (delta=0.05),0.1,11,36,57.3
0.25,9,MCA (delta=0.05),0.1,12,39,57.6
0.25,9,MCA (delta=0.05),0.1,13,42,61.3
0.25,9,MCA (delta=0.05),0.1,14,45,61.3
0.25,9,MCA (delta=0.05),0.1,15,48,62.6
0.25,9,MCA (delta=0.05),0.1,16,51,64
0.25,9,MCA (delta=0.05),0.1,17,54,64.6
0.25,9,MCA (delta=0.05),0.1,18,57,64.6
0.25,9,MCA (delta=0.05),0.1,19,60,66.3
0.25,9,MCA (delta=0.05),0.15,0,3,17.2
0.25,9,MCA (delta=0.05),0.15,1,6,23.2
0.25,9,MCA (delta=0.05),0.15,2,9,28.3
0.25,9,MCA (delta=0.05),0.15,3,12,33.6
0.25,9,MCA (delta=0.05),0.15,4,15,36.5
0.25,9,MCA (delta=0.05),0.15,5,18,42.6
0.25,9,MCA (delta=0.05),0.15,6,21,48.8
0.25,9,MCA (delta=0.05),0.15,7,24,55.1
0.25,9,MCA (delta=0.05),0.15,8,27,60.6
0.25,9,MCA (delta=0.05),0.15,9,30,65.2
0.25,9,MCA (delta=0.05),0.15,10,33,65.2
0.25,9,MCA (delta=0.05),0.15,11,36,68.7
0.25,9,MCA (delta=0.05),0.15,12,39,69.5
0.25,9,MCA (delta=0.05),0.15,13,42,70.5
0.25,9,MCA (delta=0.05),0.15,14,45,71.7
0.25,9,MCA (delta=0.05),0.15,15,48,72.2
0.25,9,MCA (delta=0.05),0.15,16,51,74.1
0.25,9,MCA (delta=0.05),0.15,17,54,74.7
0.25,9,MCA (delta=0.05),0.15,18,57,76.4
0.25,9,MCA (delta=0.05),0.15,19,60,77.8
0.25,9,MCA (delta=0.1),0.05,0,3,16.5
0.25,9,MCA (delta=0.1),0.05,1,6,19.3
0.25,9,MCA (delta=0.1),0.05,2,9,23.5
0.25,9,MCA (delta=0.1),0.05,3,12,23.9
0.25,9,MCA (delta=0.1),0.05,4,15,25.9
0.25,9,MCA (delta=0.1),0.05,5,18,28.8
0.25,9,MCA (delta=0.1),0.05,6,21,29.7
0.25,9,MCA (delta=0.1),0.05,7,24,30.3
0.25,9,MCA (delta=0.1),0.05,8,27,32.2
0.25,9,MCA (delta=0.1),0.05,9,30,34.4
0.25,9,MCA (delta=0.1),0.05,10,33,34.9
0.25,9,MCA (delta=0.1),0.05,11,36,36.1
0.25,9,MCA (delta=0.1),0.05,12,39,37.5
0.25,9,MCA (delta=0.1),0.05,13,42,38.1
0.25,9,MCA (delta=0.1),0.05,14,45,39
0.25,9,MCA (delta=0.1),0.05,15,48,40
0.25,9,MCA (delta=0.1),0.05,16,51,41.4
0.25,9,MCA (delta=0.1),0.05,17,54,41
0.25,9,MCA (delta=0.1),0.05,18,57,41.5
0.25,9,MCA (delta=0.1),0.05,19,60,42.4
0.25,9,MCA (delta=0.1),0.07,0,3,17.3
0.25,9,MCA (delta=0.1),0.07,1,6,20.9
0.25,9,MCA (delta=0.1),0.07,2,9,24.1
0.25,9,MCA (delta=0.1),0.07,3,12,28.7
0.25,9,MCA (delta=0.1),0.07,4,15,29.3
0.25,9,MCA (delta=0.1),0.07,5,18,31
0.25,9,MCA (delta=0.1),0.07,6,21,33.7
0.25,9,MCA (delta=0.1),0.07,7,24,37.4
0.25,9,MCA (delta=0.1),0.07,8,27,38.6
0.25,9,MCA (delta=0.1),0.07,9,30,41.3
0.25,9,MCA (delta=0.1),0.07,10,33,43.1
0.25,9,MCA (delta=0.1),0.07,11,36,44.3
0.25,9,MCA (delta=0.1),0.07,12,39,46
0.25,9,MCA (delta=0.1),0.07,13,42,45.2
0.25,9,MCA (delta=0.1),0.07,14,45,46.6
0.25,9,MCA (delta=0.1),0.07,15,48,48.9
0.25,9,MCA (delta=0.1),0.07,16,51,49.5
0.25,9,MCA (delta=0.1),0.07,17,54,50.5
0.25,9,MCA (delta=0.1),0.07,18,57,51.5
0.25,9,MCA (delta=0.1),0.07,19,60,51.6
0.25,9,MCA (delta=0.1),0.1,0,3,18.1
0.25,9,MCA (delta=0.1),0.1,1,6,23.3
0.25,9,MCA (delta=0.1),0.1,2,9,27.7
0.25,9,MCA (delta=0.1),0.1,3,12,32.2
0.25,9,MCA (delta=0.1),0.1,4,15,37.1
0.25,9,MCA (delta=0.1),0.1,5,18,39.9
0.25,9,MCA (delta=0.1),0.1,6,21,45.6
0.25,9,MCA (delta=0.1),0.1,7,24,50.5
0.25,9,MCA (delta=0.1),0.1,8,27,52.3
0.25,9,MCA (delta=0.1),0.1,9,30,56.3
0.25,9,MCA (delta=0.1),0.1,10,33,58
0.25,9,MCA (delta=0.1),0.1,11,36,59.8
0.25,9,MCA (delta=0.1),0.1,12,39,60.8
0.25,9,MCA (delta=0.1),0.1,13,42,61
0.25,9,MCA (delta=0.1),0.1,14,45,62.7
0.25,9,MCA (delta=0.1),0.1,15,48,63.1
0.25,9,MCA (delta=0.1),0.1,16,51,63.6
0.25,9,MCA (delta=0.1),0.1,17,54,64
0.25,9,MCA (delta=0.1),0.1,18,57,65.1
0.25,9,MCA (delta=0.1),0.1,19,60,65.6
0.25,9,MCA (delta=0.1),0.15,0,3,15.3
0.25,9,MCA (delta=0.1),0.15,1,6,21.2
0.25,9,MCA (delta=0.1),0.15,2,9,28.5
0.25,9,MCA (delta=0.1),0.15,3,12,33.2
0.25,9,MCA (delta=0.1),0.15,4,15,40.4
0.25,9,MCA (delta=0.1),0.15,5,18,47.3
0.25,9,MCA (delta=0.1),0.15,6,21,50.4
0.25,9,MCA (delta=0.1),0.15,7,24,57.1
0.25,9,MCA (delta=0.1),0.15,8,27,62.2
0.25,9,MCA (delta=0.1),0.15,9,30,64.8
0.25,9,MCA (delta=0.1),0.15,10,33,66.9
0.25,9,MCA (delta=0.1),0.15,11,36,68.7
0.25,9,MCA (delta=0.1),0.15,12,39,69.3
0.25,9,MCA (delta=0.1),0.15,13,42,70.1
0.25,9,MCA (delta=0.1),0.15,14,45,71.6
0.25,9,MCA (delta=0.1),0.15,15,48,73.6
0.25,9,MCA (delta=0.1),0.15,16,51,74.5
0.25,9,MCA (delta=0.1),0.15,17,54,74
0.25,9,MCA (delta=0.1),0.15,18,57,75.8
0.25,9,MCA (delta=0.1),0.15,19,60,78
0.25,9,MCA (delta=0.15),0.05,0,3,16.7
0.25,9,MCA (delta=0.15),0.05,1,6,20.9
0.25,9,MCA (delta=0.15),0.05,2,9,23
0.25,9,MCA (delta=0.15),0.05,3,12,24.6
0.25,9,MCA (delta=0.15),0.05,4,15,26.5
0.25,9,MCA (delta=0.15),0.05,5,18,27.6
0.25,9,MCA (delta=0.15),0.05,6,21,30.3
0.25,9,MCA (delta=0.15),0.05,7,24,32
0.25,9,MCA (delta=0.15),0.05,8,27,31.8
0.25,9,MCA (delta=0.15),0.05,9,30,34
0.25,9,MCA (delta=0.15),0.05,10,33,35
0.25,9,MCA (delta=0.15),0.05,11,36,35.7
0.25,9,MCA (delta=0.15),0.05,12,39,37.6
0.25,9,MCA (delta=0.15),0.05,13,42,38.4
0.25,9,MCA (delta=0.15),0.05,14,45,38.4
0.25,9,MCA (delta=0.15),0.05,15,48,38.3
0.25,9,MCA (delta=0.15),0.05,16,51,39.6
0.25,9,MCA (delta=0.15),0.05,17,54,39.9
0.25,9,MCA (delta=0.15),0.05,18,57,40.6
0.25,9,MCA (delta=0.15),0.05,19,60,41.6
0.25,9,MCA (delta=0.15),0.07,0,3,17
0.25,9,MCA (delta=0.15),0.07,1,6,21.3
0.25,9,MCA (delta=0.15),0.07,2,9,25.2
0.25,9,MCA (delta=0.15),0.07,3,12,28.7
0.25,9,MCA (delta=0.15),0.07,4,15,28.7
0.25,9,MCA (delta=0.15),0.07,5,18,31.9
0.25,9,MCA (delta=0.15),0.07,6,21,34.9
0.25,9,MCA (delta=0.15),0.07,7,24,36.3
0.25,9,MCA (delta=0.15),0.07,8,27,37.3
0.25,9,MCA (delta=0.15),0.07,9,30,38.4
0.25,9,MCA (delta=0.15),0.07,10,33,40.2
0.25,9,MCA (delta=0.15),0.07,11,36,44
0.25,9,MCA (delta=0.15),0.07,12,39,45.3
0.25,9,MCA (delta=0.15),0.07,13,42,45.1
0.25,9,MCA (delta=0.15),0.07,14,45,47.9
0.25,9,MCA (delta=0.15),0.07,15,48,47.7
0.25,9,MCA (delta=0.15),0.07,16,51,49.2
0.25,9,MCA (delta=0.15),0.07,17,54,49.2
0.25,9,MCA (delta=0.15),0.07,18,57,49.5
0.25,9,MCA (delta=0.15),0.07,19,60,51.5
0.25,9,MCA (delta=0.15),0.1,0,3,16.9
0.25,9,MCA (delta=0.15),0.1,1,6,22.2
0.25,9,MCA (delta=0.15),0.1,2,9,27.8
0.25,9,MCA (delta=0.15),0.1,3,12,31.8
0.25,9,MCA (delta=0.15),0.1,4,15,35.5
0.25,9,MCA (delta=0.15),0.1,5,18,42.7
0.25,9,MCA (delta=0.15),0.1,6,21,47.7
0.25,9,MCA (delta=0.15),0.1,7,24,46.9
0.25,9,MCA (delta=0.15),0.1,8,27,53
0.25,9,MCA (delta=0.15),0.1,9,30,53.3
0.25,9,MCA (delta=0.15),0.1,10,33,56.1
0.25,9,MCA (delta=0.15),0.1,11,36,57.6
0.25,9,MCA (delta=0.15),0.1,12,39,59.1
0.25,9,MCA (delta=0.15),0.1,13,42,59.1
0.25,9,MCA (delta=0.15),0.1,14,45,59.3
0.25,9,MCA (delta=0.15),0.1,15,48,60.3
0.25,9,MCA (delta=0.15),0.1,16,51,62.3
0.25,9,MCA (delta=0.15),0.1,17,54,63.7
0.25,9,MCA (delta=0.15),0.1,18,57,63.5
0.25,9,MCA (delta=0.15),0.1,19,60,64.1
0.25,9,MCA (delta=0.15),0.15,0,3,17.2
0.25,9,MCA (delta=0.15),0.15,1,6,23.2
0.25,9,MCA (delta=0.15),0.15,2,9,28.7
0.25,9,MCA (delta=0.15),0.15,3,12,34.5
0.25,9,MCA (delta=0.15),0.15,4,15,40.4
0.25,9,MCA (delta=0.15),0.15,5,18,47.9
0.25,9,MCA (delta=0.15),0.15,6,21,52.5
0.25,9,MCA (delta=0.15),0.15,7,24,58.8
0.25,9,MCA (delta=0.15),0.15,8,27,62.5
0.25,9,MCA (delta=0.15),0.15,9,30,66.9
0.25,9,MCA (delta=0.15),0.15,10,33,68.9
0.25,9,MCA (delta=0.15),0.15,11,36,68.5
0.25,9,MCA (delta=0.15),0.15,12,39,69.6
0.25,9,MCA (delta=0.15),0.15,13,42,71.6
0.25,9,MCA (delta=0.15),0.15,14,45,71.7
0.25,9,MCA (delta=0.15),0.15,15,48,73.6
0.25,9,MCA (delta=0.15),0.15,16,51,75
0.25,9,MCA (delta=0.15),0.15,17,54,76.6
0.25,9,MCA (delta=0.15),0.15,18,57,77.1
0.25,9,MCA (delta=0.15),0.15,19,60,76.8
0.25,9,MCA (delta=0.2),0.05,0,3,16.9
0.25,9,MCA (delta=0.2),0.05,1,6,20.1
0.25,9,MCA (delta=0.2),0.05,2,9,21.7
0.25,9,MCA (delta=0.2),0.05,3,12,24.2
0.25,9,MCA (delta=0.2),0.05,4,15,24.3
0.25,9,MCA (delta=0.2),0.05,5,18,25.8
0.25,9,MCA (delta=0.2),0.05,6,21,26.4
0.25,9,MCA (delta=0.2),0.05,7,24,26.2
0.25,9,MCA (delta=0.2),0.05,8,27,27.8
0.25,9,MCA (delta=0.2),0.05,9,30,29.9
0.25,9,MCA (delta=0.2),0.05,10,33,30.8
0.25,9,MCA (delta=0.2),0.05,11,36,31.7
0.25,9,MCA (delta=0.2),0.05,12,39,32.9
0.25,9,MCA (delta=0.2),0.05,13,42,33.3
0.25,9,MCA (delta=0.2),0.05,14,45,33.7
0.25,9,MCA (delta=0.2),0.05,15,48,34.6
0.25,9,MCA (delta=0.2),0.05,16,51,34.6
0.25,9,MCA (delta=0.2),0.05,17,54,35.2
0.25,9,MCA (delta=0.2),0.05,18,57,36.1
0.25,9,MCA (delta=0.2),0.05,19,60,36.4
0.25,9,MCA (delta=0.2),0.07,0,3,16
0.25,9,MCA (delta=0.2),0.07,1,6,19.5
0.25,9,MCA (delta=0.2),0.07,2,9,23.4
0.25,9,MCA (delta=0.2),0.07,3,12,24.9
0.25,9,MCA (delta=0.2),0.07,4,15,26.9
0.25,9,MCA (delta=0.2),0.07,5,18,29.9
0.25,9,MCA (delta=0.2),0.07,6,21,33.2
0.25,9,MCA (delta=0.2),0.07,7,24,34.8
0.25,9,MCA (delta=0.2),0.07,8,27,36.1
0.25,9,MCA (delta=0.2),0.07,9,30,40.7
0.25,9,MCA (delta=0.2),0.07,10,33,41.8
0.25,9,MCA (delta=0.2),0.07,11,36,42.1
0.25,9,MCA (delta=0.2),0.07,12,39,42.6
0.25,9,MCA (delta=0.2),0.07,13,42,43.7
0.25,9,MCA (delta=0.2),0.07,14,45,43.4
0.25,9,MCA (delta=0.2),0.07,15,48,45
0.25,9,MCA (delta=0.2),0.07,16,51,45
0.25,9,MCA (delta=0.2),0.07,17,54,46.1
0.25,9,MCA (delta=0.2),0.07,18,57,46.5
0.25,9,MCA (delta=0.2),0.07,19,60,46.9
0.25,9,MCA (delta=0.2),0.1,0,3,17.8
0.25,9,MCA (delta=0.2),0.1,1,6,23
0.25,9,MCA (delta=0.2),0.1,2,9,26.5
0.25,9,MCA (delta=0.2),0.1,3,12,32.2
0.25,9,MCA (delta=0.2),0.1,4,15,33.9
0.25,9,MCA (delta=0.2),0.1,5,18,40.9
0.25,9,MCA (delta=0.2),0.1,6,21,43.6
0.25,9,MCA (delta=0.2),0.1,7,24,45.7
0.25,9,MCA (delta=0.2),0.1,8,27,48.1
0.25,9,MCA (delta=0.2),0.1,9,30,51.3
0.25,9,MCA (delta=0.2),0.1,10,33,52.2
0.25,9,MCA (delta=0.2),0.1,11,36,52.8
0.25,9,MCA (delta=0.2),0.1,12,39,55.2
0.25,9,MCA (delta=0.2),0.1,13,42,55.7
0.25,9,MCA (delta=0.2),0.1,14,45,56.7
0.25,9,MCA (delta=0.2),0.1,15,48,57.8
0.25,9,MCA (delta=0.2),0.1,16,51,57.8
0.25,9,MCA (delta=0.2),0.1,17,54,59.7
0.25,9,MCA (delta=0.2),0.1,18,57,60.3
0.25,9,MCA (delta=0.2),0.1,19,60,61
0.25,9,MCA (delta=0.2),0.15,0,3,16.3
0.25,9,MCA (delta=0.2),0.15,1,6,22.8
0.25,9,MCA (delta=0.2),0.15,2,9,28.3
0.25,9,MCA (delta=0.2),0.15,3,12,34.2
0.25,9,MCA (delta=0.2),0.15,4,15,40.9
0.25,9,MCA (delta=0.2),0.15,5,18,47
0.25,9,MCA (delta=0.2),0.15,6,21,54.5
0.25,9,MCA (delta=0.2),0.15,7,24,57.9
0.25,9,MCA (delta=0.2),0.15,8,27,60.9
0.25,9,MCA (delta=0.2),0.15,9,30,63.4
0.25,9,MCA (delta=0.2),0.15,10,33,66.4
0.25,9,MCA (delta=0.2),0.15,11,36,67
0.25,9,MCA (delta=0.2),0.15,12,39,69.5
0.25,9,MCA (delta=0.2),0.15,13,42,68.7
0.25,9,MCA (delta=0.2),0.15,14,45,69.9
0.25,9,MCA (delta=0.2),0.15,15,48,72.1
0.25,9,MCA (delta=0.2),0.15,16,51,72.4
0.25,9,MCA (delta=0.2),0.15,17,54,74.3
0.25,9,MCA (delta=0.2),0.15,18,57,74.6
0.25,9,MCA (delta=0.2),0.15,19,60,75
0.25,9,MCA (random delta),0.05,0,3,16.1
0.25,9,MCA (random delta),0.05,1,6,19.8
0.25,9,MCA (random delta),0.05,2,9,22.3
0.25,9,MCA (random delta),0.05,3,12,24.9
0.25,9,MCA (random delta),0.05,4,15,24.7
0.25,9,MCA (random delta),0.05,5,18,27.5
0.25,9,MCA (random delta),0.05,6,21,28.2
0.25,9,MCA (random delta),0.05,7,24,30.5
0.25,9,MCA (random delta),0.05,8,27,31.7
0.25,9,MCA (random delta),0.05,9,30,32.7
0.25,9,MCA (random delta),0.05,10,33,34.7
0.25,9,MCA (random delta),0.05,11,36,36
0.25,9,MCA (random delta),0.05,12,39,36.6
0.25,9,MCA (random delta),0.05,13,42,36.9
0.25,9,MCA (random delta),0.05,14,45,38.1
0.25,9,MCA (random delta),0.05,15,48,38.1
0.25,9,MCA (random delta),0.05,16,51,38.9
0.25,9,MCA (random delta),0.05,17,54,39.9
0.25,9,MCA (random delta),0.05,18,57,40.3
0.25,9,MCA (random delta),0.05,19,60,40.3
0.25,9,MCA (random delta),0.07,0,3,17.6
0.25,9,MCA (random delta),0.07,1,6,22.6
0.25,9,MCA (random delta),0.07,2,9,25.4
0.25,9,MCA (random delta),0.07,3,12,28.8
0.25,9,MCA (random delta),0.07,4,15,31.2
0.25,9,MCA (random delta),0.07,5,18,34.5
0.25,9,MCA (random delta),0.07,6,21,33.2
0.25,9,MCA (random delta),0.07,7,24,39.4
0.25,9,MCA (random delta),0.07,8,27,40
0.25,9,MCA (random delta),0.07,9,30,40.1
0.25,9,MCA (random delta),0.07,10,33,42.5
0.25,9,MCA (random delta),0.07,11,36,43.2
0.25,9,MCA (random delta),0.07,12,39,43.5
0.25,9,MCA (random delta),0.07,13,42,45.9
0.25,9,MCA (random delta),0.07,14,45,48
0.25,9,MCA (random delta),0.07,15,48,48.7
0.25,9,MCA (random delta),0.07,16,51,49.5
0.25,9,MCA (random delta),0.07,17,54,49.3
0.25,9,MCA (random delta),0.07,18,57,50.7
0.25,9,MCA (random delta),0.07,19,60,49.8
0.25,9,MCA (random delta),0.1,0,3,17.6
0.25,9,MCA (random delta),0.1,1,6,22.5
0.25,9,MCA (random delta),0.1,2,9,26.3
0.25,9,MCA (random delta),0.1,3,12,30.6
0.25,9,MCA (random delta),0.1,4,15,35.2
0.25,9,MCA (random delta),0.1,5,18,39.5
0.25,9,MCA (random delta),0.1,6,21,45
0.25,9,MCA (random delta),0.1,7,24,50.9
0.25,9,MCA (random delta),0.1,8,27,51.7
0.25,9,MCA (random delta),0.1,9,30,54.1
0.25,9,MCA (random delta),0.1,10,33,55.6
0.25,9,MCA (random delta),0.1,11,36,56.7
0.25,9,MCA (random delta),0.1,12,39,59
0.25,9,MCA (random delta),0.1,13,42,61.1
0.25,9,MCA (random delta),0.1,14,45,62.1
0.25,9,MCA (random delta),0.1,15,48,63
0.25,9,MCA (random delta),0.1,16,51,64
0.25,9,MCA (random delta),0.1,17,54,65
0.25,9,MCA (random delta),0.1,18,57,65.8
0.25,9,MCA (random delta),0.1,19,60,67
0.25,9,MCA (random delta),0.15,0,3,17
0.25,9,MCA (random delta),0.15,1,6,23.2
0.25,9,MCA (random delta),0.15,2,9,29.4
0.25,9,MCA (random delta),0.15,3,12,35.4
0.25,9,MCA (random delta),0.15,4,15,39.8
0.25,9,MCA (random delta),0.15,5,18,46.9
0.25,9,MCA (random delta),0.15,6,21,51.6
0.25,9,MCA (random delta),0.15,7,24,58.4
0.25,9,MCA (random delta),0.15,8,27,60.9
0.25,9,MCA (random delta),0.15,9,30,64.6
0.25,9,MCA (random delta),0.15,10,33,68.2
0.25,9,MCA (random delta),0.15,11,36,69.8
0.25,9,MCA (random delta),0.15,12,39,71.4
0.25,9,MCA (random delta),0.15,13,42,72.8
0.25,9,MCA (random delta),0.15,14,45,73.9
0.25,9,MCA (random delta),0.15,15,48,74.2
0.25,9,MCA (random delta),0.15,16,51,75.4
0.25,9,MCA (random delta),0.15,17,54,75.8
0.25,9,MCA (random delta),0.15,18,57,77.7
0.25,9,MCA (random delta),0.15,19,60,77.5
0.3,3,MCA (delta=0.0),0.05,0,3,35.9
0.3,3,MCA (delta=0.0),0.05,1,6,38.6
0.3,3,MCA (delta=0.0),0.05,2,9,42.2
0.3,3,MCA (delta=0.0),0.05,3,12,42
0.3,3,MCA (delta=0.0),0.05,4,15,43.6
0.3,3,MCA (delta=0.0),0.05,5,18,43.5
0.3,3,MCA (delta=0.0),0.05,6,21,44.7
0.3,3,MCA (delta=0.0),0.05,7,24,45.3
0.3,3,MCA (delta=0.0),0.05,8,27,45.9
0.3,3,MCA (delta=0.0),0.05,9,30,46.2
0.3,3,MCA (delta=0.0),0.05,10,33,46
0.3,3,MCA (delta=0.0),0.05,11,36,46
0.3,3,MCA (delta=0.0),0.05,12,39,47.1
0.3,3,MCA (delta=0.0),0.05,13,42,47.2
0.3,3,MCA (delta=0.0),0.05,14,45,47
0.3,3,MCA (delta=0.0),0.05,15,48,47.6
0.3,3,MCA (delta=0.0),0.05,16,51,48.2
0.3,3,MCA (delta=0.0),0.05,17,54,48.3
0.3,3,MCA (delta=0.0),0.05,18,57,49.4
0.3,3,MCA (delta=0.0),0.05,19,60,49.3
0.3,3,MCA (delta=0.0),0.07,0,3,40.9
0.3,3,MCA (delta=0.0),0.07,1,6,44.5
0.3,3,MCA (delta=0.0),0.07,2,9,46.5
0.3,3,MCA (delta=0.0),0.07,3,12,48.3
0.3,3,MCA (delta=0.0),0.07,4,15,50.8
0.3,3,MCA (delta=0.0),0.07,5,18,49.9
0.3,3,MCA (delta=0.0),0.07,6,21,52.2
0.3,3,MCA (delta=0.0),0.07,7,24,51.7
0.3,3,MCA (delta=0.0),0.07,8,27,52.8
0.3,3,MCA (delta=0.0),0.07,9,30,53.6
0.3,3,MCA (delta=0.0),0.07,10,33,54.1
0.3,3,MCA (delta=0.0),0.07,11,36,54.8
0.3,3,MCA (delta=0.0),0.07,12,39,54.9
0.3,3,MCA (delta=0.0),0.07,13,42,54.9
0.3,3,MCA (delta=0.0),0.07,14,45,55.9
0.3,3,MCA (delta=0.0),0.07,15,48,56.2
0.3,3,MCA (delta=0.0),0.07,16,51,56.9
0.3,3,MCA (delta=0.0),0.07,17,54,57.6
0.3,3,MCA (delta=0.0),0.07,18,57,58.3
0.3,3,MCA (delta=0.0),0.07,19,60,58.8
0.3,3,MCA (delta=0.0),0.1,0,3,42.8
0.3,3,MCA (delta=0.0),0.1,1,6,47.4
0.3,3,MCA (delta=0.0),0.1,2,9,50.3
0.3,3,MCA (delta=0.0),0.1,3,12,54.8
0.3,3,MCA (delta=0.0),0.1,4,15,54.9
0.3,3,MCA (delta=0.0),0.1,5,18,56.5
0.3,3,MCA (delta=0.0),0.1,6,21,56
0.3,3,MCA (delta=0.0),0.1,7,24,56.5
0.3,3,MCA (delta=0.0),0.1,8,27,57.4
0.3,3,MCA (delta=0.0),0.1,9,30,57.9
0.3,3,MCA (delta=0.0),0.1,10,33,59.4
0.3,3,MCA (delta=0.0),0.1,11,36,60
0.3,3,MCA (delta=0.0),0.1,12,39,60.7
0.3,3,MCA (delta=0.0),0.1,13,42,61.1
0.3,3,MCA (delta=0.0),0.1,14,45,61.8
0.3,3,MCA (delta=0.0),0.1,15,48,62.9
0.3,3,MCA (delta=0.0),0.1,16,51,62.6
0.3,3,MCA (delta=0.0),0.1,17,54,63.5
0.3,3,MCA (delta=0.0),0.1,18,57,63.5
0.3,3,MCA (delta=0.0),0.1,19,60,65
0.3,3,MCA (delta=0.0),0.15,0,3,50.3
0.3,3,MCA (delta=0.0),0.15,1,6,52.1
0.3,3,MCA (delta=0.0),0.15,2,9,59.8
0.3,3,MCA (delta=0.0),0.15,3,12,61.8
0.3,3,MCA (delta=0.0),0.15,4,15,64.3
0.3,3,MCA (delta=0.0),0.15,5,18,66
