Target,Doses,Model,Env,Frame,Sample Size,Value
0.25,3,MCA (delta=0.05),0.05,16,51,48.9
0.25,3,MCA (delta=0.05),0.05,17,54,49.5
0.25,3,MCA (delta=0.05),0.05,18,57,49.6
0.25,3,MCA (delta=0.05),0.05,19,60,49.6
0.25,3,MCA (delta=0.05),0.07,0,3,39.9
0.25,3,MCA (delta=0.05),0.07,1,6,42.4
0.25,3,MCA (delta=0.05),0.07,2,9,46.4
0.25,3,MCA (delta=0.05),0.07,3,12,47.9
0.25,3,MCA (delta=0.05),0.07,4,15,50.3
0.25,3,MCA (delta=0.05),0.07,5,18,49.8
0.25,3,MCA (delta=0.05),0.07,6,21,51.1
0.25,3,MCA (delta=0.05),0.07,7,24,52.4
0.25,3,MCA (delta=0.05),0.07,8,27,53.9
0.25,3,MCA (delta=0.05),0.07,9,30,54
0.25,3,MCA (delta=0.05),0.07,10,33,54.5
0.25,3,MCA (delta=0.05),0.07,11,36,55
0.25,3,MCA (delta=0.05),0.07,12,39,55
0.25,3,MCA (delta=0.05),0.07,13,42,55.6
0.25,3,MCA (delta=0.05),0.07,14,45,56.5
0.25,3,MCA (delta=0.05),0.07,15,48,57.2
0.25,3,MCA (delta=0.05),0.07,16,51,58
0.25,3,MCA (delta=0.05),0.07,17,54,58.9
0.25,3,MCA (delta=0.05),0.07,18,57,58.9
0.25,3,MCA (delta=0.05),0.07,19,60,59.5
0.25,3,MCA (delta=0.05),0.1,0,3,43.7
0.25,3,MCA (delta=0.05),0.1,1,6,48.4
0.25,3,MCA (delta=0.05),0.1,2,9,51.7
0.25,3,MCA (delta=0.05),0.1,3,12,54.8
0.25,3,MCA (delta=0.05),0.1,4,15,54.8
0.25,3,MCA (delta=0.05),0.1,5,18,57.8
0.25,3,MCA (delta=0.05),0.1,6,21,58.1
0.25,3,MCA (delta=0.05),0.1,7,24,59.5
0.25,3,MCA (delta=0.05),0.1,8,27,61.1
0.25,3,MCA (delta=0.05),0.1,9,30,62.1
0.25,3,MCA (delta=0.05),0.1,10,33,62.7
0.25,3,MCA (delta=0.05),0.1,11,36,63.8
0.25,3,MCA (delta=0.05),0.1,12,39,64.4
0.25,3,MCA (delta=0.05),0.1,13,42,65
0.25,3,MCA (delta=0.05),0.1,14,45,65.8
0.25,3,MCA (delta=0.05),0.1,15,48,65.5
0.25,3,MCA (delta=0.05),0.1,16,51,66
0.25,3,MCA (delta=0.05),0.1,17,54,66.9
0.25,3,MCA (delta=0.05),0.1,18,57,67.3
0.25,3,MCA (delta=0.05),0.1,19,60,67.5
0.25,3,MCA (delta=0.05),0.15,0,3,46.6
